epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/scoreboards,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
38,194,3831.206298828125,3866.262451171875,3874.39990234375,3892.5625,0.0,2.1314857006073,0.008296160958707333,0.010178267024457455,0.008615447208285332,0.019631708040833473,0.24369680881500244,0.28263598680496216,0.25025588274002075,0.4310051500797272,0.06829240173101425,0.07419712841510773,0.06484091281890869,0.13781145215034485,,,,,,,,,,,,,,,
39,199,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
39,199,,,,,,,,,,,,,,,,,,,,,,0.8797036409378052,1.0,1.0,0.958123505115509,0.9911110997200012,1.9866713285446167,1.0,0.8797036409378052,1.0,0.9355555772781372,1.0,1.0
39,199,3849.03125,3872.012451171875,3880.96240234375,3896.481201171875,0.0,2.080732822418213,0.01091194711625576,0.009328006766736507,0.0109156658872962,0.017598535865545273,0.2540709972381592,0.23878416419029236,0.2532283663749695,0.3747604489326477,0.08444887399673462,0.0741637572646141,0.08078654110431671,0.11865992844104767,,,,,,,,,,,,,,,
40,204,,,,,,,,,,,,,,,,,,,,,,0.8976156115531921,1.0,1.0,0.97133469581604,0.9844444394111633,2.16707444190979,1.0,0.8976156115531921,1.0,0.9066666960716248,1.0,1.0
40,204,3832.81884765625,3855.90625,3860.512451171875,3887.53759765625,0.0,2.130364418029785,0.010772507637739182,0.01123794261366129,0.010152139700949192,0.023779815062880516,0.25857001543045044,0.26343244314193726,0.25465723872184753,0.3822239637374878,0.0728321522474289,0.07336895167827606,0.06950768083333969,0.1301756650209427,,,,,,,,,,,,,,,
41,209,,,,,,,,,,,,,,,,,,,,,,0.9358603358268738,1.0,1.0,0.9827077388763428,0.9866666793823242,1.686693549156189,1.0,0.9358603358268738,1.0,0.95333331823349,1.0,1.0
41,209,3814.77490234375,3874.59375,3859.28759765625,3891.25,0.0,2.3809056282043457,0.011049444787204266,0.012045050039887428,0.010394429787993431,0.02910558506846428,0.2780706286430359,0.31988024711608887,0.2920207381248474,0.41470497846603394,0.07848667353391647,0.07928606122732162,0.07740546762943268,0.14644990861415863,,,,,,,,,,,,,,,
42,214,,,,,,,,,,,,,,,,,,,,,,0.9334146976470947,1.0,1.0,0.9678871035575867,0.9800000190734863,1.7317568063735962,1.0,0.9334146976470947,1.0,0.9577777981758118,1.0,1.0
42,214,3816.050048828125,3884.206298828125,3862.106201171875,3895.91259765625,0.0,1.8041846752166748,0.007405837532132864,0.008429808542132378,0.007956416346132755,0.01599910296499729,0.2259342223405838,0.2393520623445511,0.23204028606414795,0.3315584063529968,0.059049952775239944,0.0625758096575737,0.060980211943387985,0.10556582361459732,,,,,,,,,,,,,,,
43,219,,,,,,,,,,,,,,,,,,,,,,0.9630079865455627,1.0,1.0,0.9640040993690491,0.9844444394111633,1.9353312253952026,1.0,0.9630079865455627,1.0,0.9733333587646484,1.0,1.0
